Buffer size: 65536; Object size: 192; Weak refs for all: false
[GC (Allocation Failure)  20445K->7805K(22528K), 0.0132791 secs]
[GC (Allocation Failure)  20093K->7357K(22528K), 0.0102325 secs]
[GC (Allocation Failure)  19645K->6941K(22528K), 0.0049941 secs]
[GC (Allocation Failure)  19229K->6461K(22528K), 0.0016952 secs]
[GC (Allocation Failure)  18749K->8205K(22528K), 0.0238090 secs]
[GC (Allocation Failure)  20493K->7789K(22528K), 0.0135843 secs]
[GC (Allocation Failure)  20077K->7309K(22528K), 0.0083550 secs]
[GC (Allocation Failure)  19597K->6989K(22528K), 0.0045569 secs]
[GC (Allocation Failure)  19277K->6445K(22528K), 0.0014505 secs]
[GC (Allocation Failure)  18733K->8213K(22528K), 0.0222306 secs]
[GC (Allocation Failure)  20501K->7829K(22528K), 0.0138570 secs]
[GC (Allocation Failure)  20117K->7349K(22528K), 0.0119518 secs]
[GC (Allocation Failure)  19637K->6933K(22528K), 0.0051274 secs]
[GC (Allocation Failure)  19221K->8661K(22528K), 0.0205039 secs]
[GC (Allocation Failure)  20949K->8661K(22528K), 0.0205174 secs]
[GC (Allocation Failure)  20949K->8213K(22528K), 0.0122910 secs]
[GC (Allocation Failure)  20501K->7829K(22528K), 0.0102485 secs]
[GC (Allocation Failure)  20117K->7381K(22528K), 0.0045464 secs]
[GC (Allocation Failure)  19669K->9021K(22528K), 0.0201674 secs]
